Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Country,Product_ID,Product_Category,Product_Name,Quantity,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Sales_Rep,Payment_Method,Order_Status
ORD-10001,2024-01-01,CUST-201,Corporate,North America,United States,PRD-01,Electronics,Laptop Pro 14,7,1200,900,8400,6300,2100,Alex Morgan,Card,Completed
ORD-10002,2024-01-02,CUST-305,Consumer,Europe,Germany,PRD-02,Electronics,Tablet Air 10,5,600,520,3000,2600,400,Daniel Smith,Card,Completed
ORD-10003,2024-01-03,CUST-178,Small Business,Asia-Pacific,Australia,PRD-03,Furniture,Office Chair Deluxe,3,320,250,960,750,210,Sophie Klein,Cash,Completed
ORD-10004,2024-01-04,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-04,Furniture,Standing Desk Pro,3,850,700,2550,2100,450,Marie Dubois,Card,Returned
ORD-10005,2024-01-05,CUST-256,Consumer,South America,Brazil,PRD-05,Electronics,Wireless Monitor 27,3,450,380,1350,1140,210,Jan de Vries,Transfer,Pending
ORD-10006,2024-01-06,CUST-389,Small Business,Europe,France,PRD-06,Office Supply,Wireless Mouse,2,25,18,50,36,14,Liam Chen,Transfer,Completed
ORD-10007,2024-01-07,CUST-144,Corporate,North America,Canada,PRD-07,Office Supplies,Paper Ream A4,4,6,3,24,12,12,Wei Zhang,Card,Completed
ORD-10008,2024-01-08,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-08,Furniture,Conference Table,4,2200,2000,8800,8000,800,Omar Hassan,Transfer,Pending
ORD-10009,2024-01-09,CUST-501,Corporate,Europe,Netherlands,PRD-09,Office Supplies,Ink Cartridge XL,4,45,40,180,160,20,Fahad Al Saud,Card,Completed
ORD-10010,2024-01-10,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-01,Electronics,Laptop Pro 14,3,1200,900,3600,2700,900,Lucas Pereira,Cash,Completed
ORD-10011,2024-01-11,CUST-201,Corporate,North America,United States,PRD-02,Electronics,Tablet Air 10,4,600,520,2400,2080,320,Alex Morgan,Cash,Completed
ORD-10012,2024-01-12,CUST-305,Consumer,Europe,Germany,PRD-03,Furniture,Office Chair Deluxe,4,320,250,1280,1000,280,Daniel Smith,Cash,Returned
ORD-10013,2024-01-13,CUST-178,Small Business,Asia-Pacific,Australia,PRD-04,Furniture,Standing Desk Pro,1,850,700,850,700,150,Sophie Klein,Cash,Pending
ORD-10014,2024-01-14,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-05,Electronics,Wireless Monitor 27,3,450,380,1350,1140,210,Marie Dubois,Cash,Pending
ORD-10015,2024-01-15,CUST-256,Consumer,South America,Brazil,PRD-06,Office Supply,Wireless Mouse,1,25,18,25,18,7,Jan de Vries,Cash,Completed
ORD-10016,2024-01-16,CUST-389,Small Business,Europe,France,PRD-07,Office Supplies,Paper Ream A4,4,6,3,24,12,12,Liam Chen,Card,Returned
ORD-10017,2024-01-17,CUST-144,Corporate,North America,Canada,PRD-08,Furniture,Conference Table,6,2200,2000,13200,12000,1200,Wei Zhang,Transfer,Completed
ORD-10018,2024-01-18,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Omar Hassan,Transfer,Pending
ORD-10019,2024-01-19,CUST-501,Corporate,Europe,Netherlands,PRD-01,Electronics,Laptop Pro 14,2,1200,900,2400,1800,600,Fahad Al Saud,Cash,Returned
ORD-10020,2024-01-20,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-02,Electronics,Tablet Air 10,7,600,520,4200,3640,560,Lucas Pereira,Card,Completed
ORD-10021,2024-01-21,CUST-201,Corporate,North America,United States,PRD-03,Furniture,Office Chair Deluxe,6,320,250,1920,1500,420,Alex Morgan,Card,Returned
ORD-10022,2024-01-22,CUST-305,Consumer,Europe,Germany,PRD-04,Furniture,Standing Desk Pro,2,850,700,1700,1400,300,Daniel Smith,Transfer,Completed
ORD-10023,2024-01-23,CUST-178,Small Business,Asia-Pacific,Australia,PRD-05,Electronics,Wireless Monitor 27,4,450,380,1800,1520,280,Sophie Klein,Transfer,Pending
ORD-10024,2024-01-24,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-06,Office Supply,Wireless Mouse,7,25,18,175,126,49,Marie Dubois,Transfer,Completed
ORD-10025,2024-01-25,CUST-256,Consumer,South America,Brazil,PRD-07,Office Supplies,Paper Ream A4,4,6,3,24,12,12,Jan de Vries,Transfer,Completed
ORD-10026,2024-01-26,CUST-389,Small Business,Europe,France,PRD-08,Furniture,Conference Table,6,2200,2000,13200,12000,1200,Liam Chen,Transfer,Returned
ORD-10027,2024-01-27,CUST-144,Corporate,North America,Canada,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Wei Zhang,Transfer,Pending
